id,uuid,location,resolution,producer,operating_system,ip
48,mi5gseq,Warsaw,"Full HD",LG,Linux,150.161.247.119
49,A6nKFbz3wZ,Amsterdam,4K,Samsung,Ubuntu,143.63.27.149
50,9eCxqP3MT,Amsterdam,4K,LG,Linux,67.112.185.143
51,bwBhM,Warsaw,4K,Samsung,Ubuntu,102.47.141.2
52,aD1jqZf,Warsaw,4K,LG,Linux,114.206.100.213
53,f56LwTh7,Berlin,4K,Philips,Android,181.40.117.46
54,RoqNpX,Paris,"Full HD",Philips,Android,83.48.138.6
55,aZzgyvo4,Berlin,"Full HD",Sencor,Android,148.188.24.7
56,ARhTu8WGI,Amsterdam,4K,Sencor,Android,210.8.42.125
57,hGT1xJn0X,Berlin,4K,Sencor,Ubuntu,224.133.202.90
58,MFoqf6ur5R,Warsaw,4K,Philips,Linux,202.10.167.223
59,WI83lrRJx,Amsterdam,4K,Samsung,Ubuntu,215.5.53.160
60,HULVE,Berlin,4K,LG,Ubuntu,39.233.254.183
61,CnWNgaP32,Paris,4K,Philips,Android,204.14.14.252
62,2DzPYSjBb8,Warsaw,4K,LG,Ubuntu,178.176.165.71
63,7sVTwx6Pn,Amsterdam,4K,Philips,Android,143.171.150.143
64,3JZYj,Berlin,4K,Sencor,Ubuntu,45.25.82.71
65,Lkb9ISg,Berlin,4K,LG,Android,49.192.11.0
66,sw4uS3o9,Paris,4K,Samsung,Android,72.26.25.57
67,OyomDP1,Paris,"Full HD",LG,Android,253.173.61.6
68,Entw4Ip9Ym,Warsaw,"Full HD",Philips,Ubuntu,179.243.67.148
69,gb1O4f,Berlin,4K,Samsung,Linux,243.215.240.65
70,5WvF4Z,Warsaw,4K,LG,Android,27.62.142.158
71,H9ni38T2,Warsaw,4K,Samsung,Ubuntu,180.124.250.205
72,RnzIe,Paris,4K,Sencor,Linux,147.221.58.7
73,ZHKN4,Paris,4K,Samsung,Android,109.241.138.244
74,lxPi6O,Amsterdam,"Full HD",Sencor,Ubuntu,145.65.181.81
75,NmHyIfGtUn,Amsterdam,4K,Sencor,Ubuntu,138.197.175.224
76,M4BYbUXz,Paris,"Full HD",Philips,Linux,105.39.195.111
77,WVl032M,Amsterdam,4K,Philips,Android,176.69.161.59
78,ZAieImE,Paris,4K,Sencor,Linux,24.72.240.240
79,VxWJog,Warsaw,4K,Philips,Android,251.67.55.125
80,qplW4jb2r,Warsaw,"Full HD",Philips,Android,96.9.193.213
81,MvhDB,Berlin,4K,Samsung,Ubuntu,169.243.31.62
82,imP6F5,Amsterdam,4K,Philips,Linux,179.101.219.163
83,FUX7IaZlyM,Amsterdam,"Full HD",Philips,Ubuntu,213.37.251.111
84,wyfBTk28Ua,Paris,4K,Sencor,Android,90.231.227.126
85,bAqo1EMQj,Amsterdam,4K,Philips,Linux,137.149.138.193
86,fkH7P4O,Warsaw,"Full HD",Philips,Linux,194.98.40.156
87,VYzi8X,Warsaw,4K,Sencor,Linux,125.96.89.58
88,X4AjIsE,Paris,"Full HD",Philips,Ubuntu,184.81.240.255
89,u8i7s0G,Berlin,"Full HD",Philips,Linux,62.155.11.74
90,YTkD0,Warsaw,"Full HD",Philips,Linux,233.128.84.46
91,xuYMcqKTE,Amsterdam,"Full HD",Philips,Ubuntu,162.119.50.246
92,vX0OYeIJ4n,Warsaw,"Full HD",Samsung,Ubuntu,82.118.130.48
93,AqYpvjWC,Warsaw,"Full HD",Philips,Ubuntu,14.238.36.139
94,yQiht5aoT,Paris,4K,Sencor,Android,220.99.94.132
95,0ZsXM4kuG,Berlin,"Full HD",Philips,Linux,39.220.108.71
96,JE9b3nsG,Paris,"Full HD",Sencor,Linux,145.234.77.225
97,lcR0Ffpw,Berlin,"Full HD",LG,Ubuntu,94.70.55.201
98,OqlJ9,Warsaw,4K,Sencor,Ubuntu,24.129.88.245
99,oXYyfUz,Paris,4K,Philips,Linux,103.87.80.245
100,fEyZ5DF,Paris,4K,Samsung,Ubuntu,199.38.242.23
101,9tYqElNLW,Amsterdam,4K,LG,Linux,64.90.61.26
102,rV6y4MI,Amsterdam,"Full HD",Samsung,Ubuntu,22.207.132.158
103,jv2Cp,Warsaw,4K,Sencor,Ubuntu,233.39.154.247
104,qAcXeR,Berlin,"Full HD",Samsung,Android,114.37.2.188
105,TLlDv,Paris,4K,Samsung,Ubuntu,167.225.42.105
106,MRjJ96TIiA,Paris,"Full HD",LG,Linux,179.36.242.166
107,AI7RbY,Amsterdam,"Full HD",Philips,Android,31.158.45.76
108,A7yEcNI,Paris,4K,Samsung,Ubuntu,64.166.10.116
109,SX1qtu,Paris,"Full HD",Philips,Ubuntu,230.80.67.44
110,pgqf5BQS,Warsaw,"Full HD",Sencor,Android,228.190.139.96
111,xjSJgzypK3,Amsterdam,"Full HD",LG,Ubuntu,141.44.110.197
112,JQa5WAh,Paris,4K,LG,Ubuntu,53.11.255.66
113,eHMkD95P,Paris,4K,Philips,Ubuntu,1.208.117.231
114,JUSzVx0L,Berlin,"Full HD",Philips,Android,4.32.142.113
115,PXy682,Warsaw,"Full HD",Samsung,Linux,58.136.155.91
116,5Oz4ar1km,Warsaw,4K,Samsung,Android,39.150.162.228
117,87GoxqTaY9,Warsaw,4K,LG,Linux,117.0.49.75
118,vQ07Ibp,Berlin,"Full HD",LG,Ubuntu,187.47.8.4
119,dgMeaqKt3,Warsaw,"Full HD",Sencor,Ubuntu,172.206.97.233
120,F0X75yjcOD,Berlin,"Full HD",Philips,Android,139.230.47.68
121,mTzOnZ,Berlin,"Full HD",LG,Linux,113.84.152.226
122,1DTnYfkgG,Warsaw,4K,LG,Android,130.119.153.82
123,cQ5KoleVXs,Amsterdam,4K,Samsung,Linux,154.221.75.221
124,Hl8UPfVNT,Amsterdam,"Full HD",Philips,Ubuntu,138.226.222.184
125,y768g0R,Warsaw,4K,Philips,Linux,113.60.51.245
126,trzhnpj3Q,Berlin,4K,Sencor,Linux,101.221.57.102
127,E7bS1es,Warsaw,"Full HD",Philips,Ubuntu,47.155.4.179
128,JtxymBwV,Berlin,4K,Samsung,Android,103.189.117.42
129,Z42tpicJ,Berlin,4K,Sencor,Linux,68.73.80.191
130,dN7fnjQia,Berlin,4K,Philips,Ubuntu,129.187.4.236
131,yxJK82M,Berlin,"Full HD",Philips,Linux,49.204.12.124
132,iz4bUC,Berlin,4K,Samsung,Linux,236.67.95.37
133,KW0plZmDJ,Berlin,"Full HD",Samsung,Linux,77.51.5.75
134,AzKg2Y96N,Amsterdam,"Full HD",Philips,Ubuntu,242.104.255.105
135,WTQuK,Berlin,"Full HD",Sencor,Android,232.214.65.104
136,OPYuF,Paris,"Full HD",Samsung,Android,231.224.52.31
137,uZUFBG5,Warsaw,"Full HD",Samsung,Linux,137.141.19.243
138,DJyeS4QM,Paris,4K,Samsung,Android,48.85.22.212
139,u0W2AMw,Berlin,"Full HD",Philips,Linux,211.212.183.54
140,9jHYh,Paris,"Full HD",Sencor,Ubuntu,184.207.59.22
141,OJCxmGitnF,Warsaw,4K,Samsung,Linux,66.232.128.44
142,94WPqra,Warsaw,4K,LG,Ubuntu,25.172.232.39
143,FElt06xj,Paris,"Full HD",Sencor,Ubuntu,133.41.242.22
144,beuAqBP,Amsterdam,4K,LG,Ubuntu,236.51.62.103
145,sjP3h,Paris,4K,Philips,Linux,101.211.168.238
146,yr8sPo,Paris,"Full HD",Philips,Android,7.123.81.81
147,Gds6otS4I,Amsterdam,4K,LG,Linux,198.89.112.85
148,4VFdUcxA,Warsaw,4K,Samsung,Ubuntu,176.170.188.152
149,gZaAD0KW6p,Warsaw,4K,Philips,Android,233.229.154.82
150,plPZ3i0Vx1,Paris,"Full HD",LG,Ubuntu,157.10.158.245
151,Zd2NUoKL1Q,Amsterdam,"Full HD",LG,Linux,22.126.137.13
152,QZwta,Berlin,4K,Philips,Ubuntu,243.226.168.218
153,tKkWfhQ9,Paris,"Full HD",Samsung,Linux,201.57.35.192
154,6jpcEvU,Warsaw,"Full HD",Philips,Linux,11.216.203.238
155,mvSdFVUDC,Berlin,"Full HD",LG,Android,73.179.79.76
156,XvnD5og9Y,Paris,4K,LG,Android,98.64.146.190
157,oaCADRwMO,Berlin,4K,Philips,Android,127.219.188.21
158,NiyZ4IJdqz,Amsterdam,"Full HD",Samsung,Linux,223.72.93.254
159,c3WtpP6V,Amsterdam,4K,LG,Ubuntu,173.186.117.168
160,nasP9oIG0F,Warsaw,4K,Philips,Linux,218.161.143.82
161,O7BSf8Maox,Paris,"Full HD",Samsung,Linux,120.131.189.45
162,pTeakXP8sD,Amsterdam,4K,Sencor,Ubuntu,111.58.194.236
163,daFbH3G,Amsterdam,"Full HD",Philips,Ubuntu,65.152.73.72
164,zUMx9i,Warsaw,4K,Samsung,Linux,185.157.86.83
165,3HqRwD8P,Warsaw,"Full HD",Philips,Linux,251.190.161.175
166,WAaRxP,Paris,"Full HD",Samsung,Linux,97.87.99.116
167,6XwITYDiK1,Paris,4K,LG,Ubuntu,78.47.220.177
168,VkmqnUx,Berlin,"Full HD",Philips,Android,83.255.30.165
169,UkHW8,Amsterdam,"Full HD",Samsung,Android,220.30.177.137
170,3DvmVj9E,Berlin,"Full HD",Sencor,Android,250.77.184.189
171,B41T3UF,Warsaw,"Full HD",Philips,Android,239.84.57.159
172,zxvVJkPCs,Amsterdam,4K,Samsung,Ubuntu,196.86.1.88
173,EuZiBPMn,Warsaw,4K,Sencor,Linux,195.98.45.221
174,K58FlNS4,Berlin,4K,LG,Linux,82.91.205.220
175,oJpO4V,Berlin,"Full HD",Sencor,Linux,55.206.60.53
176,2bkZT,Berlin,4K,LG,Ubuntu,199.101.74.154
177,MmWalyT,Amsterdam,"Full HD",LG,Ubuntu,69.150.254.168
178,fGie710,Warsaw,"Full HD",Sencor,Android,181.98.52.24
179,TexwsfHG,Berlin,4K,Samsung,Android,162.72.109.99
180,5Kk39n1m,Paris,4K,LG,Ubuntu,238.218.168.204
181,MtwgGA1En2,Warsaw,"Full HD",Philips,Linux,169.190.153.144
182,nmJkZ,Paris,4K,Samsung,Android,189.128.105.184
183,9orRPaz,Paris,"Full HD",Philips,Ubuntu,88.6.227.195
184,gO7xEY2zBZ,Berlin,"Full HD",Philips,Linux,13.22.241.209
185,h9Q73bj,Berlin,"Full HD",Philips,Ubuntu,253.113.176.44
186,gtmZzwSVs,Amsterdam,"Full HD",Sencor,Android,32.220.162.231
187,k3XEHTN,Amsterdam,"Full HD",Philips,Ubuntu,7.116.215.137
188,CVob3WQ,Amsterdam,"Full HD",Sencor,Android,118.80.77.66
189,KUxvho,Amsterdam,4K,Sencor,Android,83.1.205.83
190,ie21Gp,Berlin,4K,Sencor,Ubuntu,45.142.6.0
191,G4fg3z,Amsterdam,4K,Sencor,Android,77.120.25.42
192,pOiUjetT,Berlin,4K,Philips,Linux,230.81.140.221
193,Q5XOD,Warsaw,"Full HD",Philips,Linux,96.105.198.215
194,4nSPCD,Paris,"Full HD",Philips,Ubuntu,31.138.50.159
195,CsVlNcST9m,Berlin,4K,Sencor,Linux,219.231.87.140
196,gYGXr,Paris,"Full HD",LG,Linux,162.194.235.69
197,usxMCNQW,Amsterdam,"Full HD",LG,Linux,175.196.202.89
198,AxBCHWiNas,Paris,4K,LG,Linux,254.94.114.130
199,ja6QOp,Warsaw,"Full HD",LG,Linux,17.106.168.161
200,u2T7SXvKJ,Paris,"Full HD",Samsung,Linux,245.170.134.62
201,y4cHWxCJdD,Amsterdam,"Full HD",LG,Linux,106.163.146.152
202,5xqZmJ,Amsterdam,"Full HD",LG,Ubuntu,197.65.222.168
203,ybLevD8,Paris,"Full HD",Samsung,Ubuntu,212.128.196.191
204,MSLpXJ,Amsterdam,"Full HD",Sencor,Android,179.44.121.99
205,oQFeK1uWOR,Berlin,4K,Philips,Linux,135.88.249.23
206,X817SpAt,Amsterdam,4K,Philips,Android,161.105.124.15
207,Yemkuq1wlJ,Paris,4K,LG,Android,206.198.243.230
208,9byT4k,Paris,"Full HD",LG,Ubuntu,71.143.6.168
209,RO48Ac,Warsaw,"Full HD",Sencor,Android,32.148.207.68
210,XeqKRtC,Warsaw,4K,LG,Android,199.208.223.122
211,uXQmC,Warsaw,"Full HD",Sencor,Android,50.238.113.246
212,CteLOM9PT,Warsaw,"Full HD",Samsung,Linux,210.46.54.105
213,TyJVOgaN,Paris,4K,Philips,Android,181.89.207.139
214,uo17lF,Berlin,4K,Sencor,Android,32.92.225.14
215,SsaFo,Berlin,"Full HD",Philips,Linux,167.128.141.21
216,jnZXdQsy,Paris,"Full HD",LG,Linux,97.245.105.97
217,igXFmd,Berlin,"Full HD",Sencor,Linux,11.103.97.176
218,IqhxjB,Warsaw,4K,Samsung,Android,1.27.70.45
219,SItZQwl,Berlin,4K,Sencor,Ubuntu,125.33.53.171
220,e5KtMC,Berlin,"Full HD",LG,Linux,33.216.210.75
221,5BwYEpDGrU,Berlin,"Full HD",LG,Android,2.26.230.72
222,eFY2U7phX,Amsterdam,"Full HD",Sencor,Ubuntu,200.99.91.168
223,CgWoGd0w5,Warsaw,"Full HD",Sencor,Android,151.206.13.203
224,ON9irwMU,Warsaw,"Full HD",LG,Ubuntu,44.24.253.137
225,BVwqdiypuC,Amsterdam,4K,Sencor,Linux,2.209.216.92
226,vBwCJl0,Amsterdam,"Full HD",Sencor,Linux,55.74.199.69
227,U36bFmYnJ,Paris,"Full HD",Philips,Linux,244.248.146.228
228,hUvpR8u,Amsterdam,"Full HD",Philips,Ubuntu,179.64.0.208
229,kBs6aH,Warsaw,"Full HD",LG,Ubuntu,3.225.189.141
230,kTxzfMo,Paris,"Full HD",Sencor,Linux,38.8.125.86
231,18bwiHqu,Amsterdam,"Full HD",Samsung,Android,204.199.60.252
232,nVqFWBwPyX,Paris,4K,LG,Android,251.127.159.69
233,3zBk1,Warsaw,"Full HD",LG,Android,103.45.71.39
234,HF0wiRA,Amsterdam,"Full HD",Samsung,Ubuntu,212.121.174.124
235,YCmiD,Paris,"Full HD",Samsung,Ubuntu,118.46.192.68
236,4szRPo,Warsaw,4K,Philips,Linux,36.232.148.139
237,5xHKzkVG,Paris,4K,Samsung,Linux,160.130.57.2
238,pUMSmZvr1,Paris,4K,LG,Ubuntu,199.238.172.54
239,C8D32,Warsaw,4K,Philips,Ubuntu,44.113.133.211
240,D609NgZh5,Warsaw,4K,Philips,Android,159.118.6.132
241,eo2qrD,Paris,"Full HD",Samsung,Android,169.192.247.210
242,9LgYxc2,Berlin,"Full HD",LG,Ubuntu,66.249.57.185
243,49gB3h,Berlin,4K,LG,Linux,194.202.200.41
244,6XYBrZ,Paris,"Full HD",Philips,Android,3.141.239.55
245,wIWXM,Paris,"Full HD",Sencor,Linux,120.23.240.28
246,vKekRGOtpS,Warsaw,4K,LG,Android,14.51.108.45
247,ODb7cHVT6,Warsaw,4K,Samsung,Ubuntu,69.58.34.179
248,Hv6qEXtU,Berlin,4K,LG,Linux,111.207.225.126
249,QcYT1e,Paris,4K,LG,Ubuntu,157.78.38.221
250,CMmI3asjL,Amsterdam,4K,Sencor,Android,201.10.187.39
251,U0FglsM7d,Berlin,"Full HD",Sencor,Ubuntu,89.206.184.62
252,s7mFqWNe,Warsaw,4K,Philips,Linux,74.84.33.229
253,dACN6tGve8,Berlin,"Full HD",LG,Ubuntu,43.128.212.62
254,9PDRe,Warsaw,4K,Sencor,Ubuntu,95.126.134.222
255,UjYRaw8,Amsterdam,"Full HD",LG,Linux,61.68.52.168
256,BgerFKwV1,Amsterdam,4K,LG,Linux,168.78.62.72
257,FCOrUgStkK,Berlin,4K,Sencor,Linux,96.51.112.17
258,nce4mSXRa8,Amsterdam,"Full HD",Sencor,Linux,236.82.42.241
259,oRk15Qa0Xc,Berlin,4K,LG,Android,41.0.189.53
260,Dl9I6pJC0,Paris,"Full HD",LG,Ubuntu,188.115.42.13
261,Wi4Yg7tz,Amsterdam,4K,Philips,Android,53.186.114.52
262,GEmwHh,Berlin,"Full HD",LG,Linux,119.121.225.47
263,o057mYKZ,Paris,"Full HD",LG,Ubuntu,195.234.221.88
264,Gn1uXJHVe,Paris,"Full HD",Sencor,Android,187.255.77.126
265,BFb2MTCS3,Warsaw,4K,Sencor,Linux,194.232.103.159
266,TWboH14I0x,Warsaw,"Full HD",LG,Ubuntu,64.149.38.37
267,C2dqa6P9sT,Amsterdam,4K,Sencor,Android,188.153.190.67
268,kdUwvlx,Warsaw,"Full HD",Samsung,Ubuntu,43.4.76.182
269,iu2AGt,Berlin,"Full HD",Philips,Linux,6.139.149.94
270,gXB403b,Paris,4K,Samsung,Linux,6.159.104.109
271,lky0FUZ,Berlin,4K,LG,Linux,252.34.11.153
272,slpVjxK,Paris,4K,Sencor,Linux,61.122.244.184
273,ei1nUs,Warsaw,"Full HD",Samsung,Ubuntu,73.78.154.163
274,dr8AoT,Warsaw,4K,LG,Android,181.196.60.3
275,LvdIKyTHDn,Berlin,"Full HD",Samsung,Android,104.34.218.64
276,Rd5mXl9EMB,Paris,4K,Samsung,Ubuntu,187.53.48.200
277,YLrvd,Warsaw,4K,Sencor,Linux,44.153.177.42
278,pB5Lvgf9K,Paris,"Full HD",Sencor,Android,171.192.220.46
279,RmTKM,Berlin,4K,Philips,Linux,61.121.75.159
280,Kp5socnaf,Paris,4K,Philips,Ubuntu,193.17.46.136
281,Llc6ozG,Berlin,4K,LG,Linux,21.10.248.182
282,8hRgzMJDW,Berlin,4K,Samsung,Linux,45.133.104.45
283,iwxrJPjkS,Amsterdam,"Full HD",LG,Ubuntu,121.177.209.217
284,1dSBjT,Amsterdam,"Full HD",Philips,Android,139.126.12.117
285,1pcEwP,Berlin,4K,Samsung,Ubuntu,25.29.234.81
286,klwG9,Warsaw,"Full HD",Sencor,Ubuntu,252.97.144.63
287,PCgkKol5,Paris,4K,Sencor,Linux,178.147.148.59
288,6NtCOKp,Warsaw,4K,LG,Android,148.67.135.129
289,ZrQies7ba,Berlin,"Full HD",Philips,Android,19.148.188.158
290,gbTYCte78,Paris,"Full HD",LG,Android,40.135.32.215
291,LrDsKf,Paris,"Full HD",Sencor,Ubuntu,129.55.32.250
292,brdUkPn6X0,Berlin,4K,LG,Linux,44.225.20.43
293,CPKXnu7r,Paris,"Full HD",Philips,Android,250.237.2.201
294,HXAsDB7,Amsterdam,"Full HD",Philips,Ubuntu,208.24.22.81
295,uYcmSwv7J,Warsaw,"Full HD",Samsung,Ubuntu,201.111.119.5
296,sUehgQ,Berlin,4K,Philips,Android,60.169.19.200
297,HyLWc,Warsaw,4K,Samsung,Ubuntu,138.21.169.251
298,jkYBzrq,Paris,4K,Sencor,Ubuntu,156.211.186.28
299,fJnptb615Y,Warsaw,"Full HD",Samsung,Ubuntu,186.22.65.203
300,tXFzQ,Paris,"Full HD",Samsung,Ubuntu,143.140.72.215
301,dmfSKEtviM,Amsterdam,"Full HD",Sencor,Ubuntu,118.229.10.216
302,hsRqi,Warsaw,"Full HD",Samsung,Linux,70.105.134.236
303,Faen0jd,Paris,"Full HD",Samsung,Android,46.71.53.83
304,6vInZgoxwc,Warsaw,4K,Samsung,Android,150.175.189.163
305,Ezkdrxs7,Berlin,4K,Samsung,Linux,175.88.2.9
306,neTmQ814O,Amsterdam,4K,LG,Ubuntu,99.177.100.220
307,l1JhQY,Warsaw,4K,Sencor,Android,242.59.249.145
308,PNUhMIz5i,Warsaw,4K,Philips,Ubuntu,54.224.213.159
309,LpGJmXnBZF,Amsterdam,"Full HD",Sencor,Ubuntu,107.159.110.103
310,NvFbLR,Paris,4K,Philips,Linux,217.13.137.131
311,pqscFLI,Warsaw,"Full HD",Philips,Ubuntu,109.232.175.49
312,TRFEDhAMc,Amsterdam,4K,Sencor,Android,17.78.244.111
313,9TvXeyE,Amsterdam,4K,LG,Linux,123.25.92.109
314,H6E3KnL,Paris,"Full HD",Sencor,Android,114.154.89.148
315,JrGWfm,Warsaw,4K,Sencor,Android,75.76.133.26
316,JMDcQer,Berlin,"Full HD",Sencor,Linux,140.74.208.66
317,Oo2xDGzFem,Amsterdam,"Full HD",Sencor,Linux,196.197.235.91
318,1gXYNluO,Warsaw,"Full HD",Sencor,Linux,85.62.108.228
319,jBJMzl3VXP,Berlin,4K,Samsung,Ubuntu,225.8.240.230
320,PDyBCQhV2,Amsterdam,"Full HD",Samsung,Ubuntu,238.169.94.84
321,5mHXZ,Warsaw,"Full HD",Philips,Ubuntu,247.182.247.103
322,S1RcKZqXb,Paris,4K,Samsung,Ubuntu,215.48.123.224
323,mduhN,Paris,"Full HD",Philips,Ubuntu,186.151.245.225
324,0R7vG,Berlin,4K,Sencor,Linux,111.171.105.247
325,EH5pGSJh7,Berlin,"Full HD",LG,Linux,134.70.255.89
326,S3IE6m5,Berlin,4K,Philips,Android,178.106.117.83
327,doj8hgv,Berlin,"Full HD",Philips,Android,90.62.86.41
328,nQ8xmd,Amsterdam,4K,Philips,Ubuntu,69.39.142.83
329,fqBvxM0Ii,Berlin,"Full HD",Samsung,Android,20.167.0.11
330,qVF56JeQsS,Berlin,4K,Samsung,Ubuntu,81.190.136.232
331,7izGO38p,Amsterdam,4K,Samsung,Linux,6.79.73.169
332,IAh4V,Warsaw,4K,Sencor,Android,102.51.199.63
333,NSBylIozR,Paris,4K,Philips,Ubuntu,139.139.66.161
334,0TLRFPY,Paris,"Full HD",Philips,Ubuntu,192.245.170.204
335,xruNkBlbL,Warsaw,"Full HD",Philips,Android,72.197.197.4
336,ImHf4RqZ,Amsterdam,4K,Samsung,Android,132.160.171.83
337,2AdGVuh7li,Paris,4K,Philips,Android,0.248.251.182
338,JOTX6Vlx3,Paris,4K,Philips,Ubuntu,3.242.143.78
339,jMiJVaBl,Paris,"Full HD",Philips,Android,138.121.33.60
340,yNoW5YLTb,Warsaw,4K,Philips,Ubuntu,178.112.219.195
341,aeAtoKR,Warsaw,"Full HD",Sencor,Android,100.182.45.103
342,ibYOd31,Paris,4K,LG,Linux,252.104.100.35
343,3PiyARUKwI,Berlin,4K,Sencor,Ubuntu,67.248.58.99
344,K5V7bOIC,Paris,4K,LG,Linux,130.118.28.160
345,AQEobP,Warsaw,"Full HD",Philips,Android,222.20.14.159
346,xiqtuH6gC,Berlin,4K,Sencor,Ubuntu,245.15.223.196
347,sULnw,Amsterdam,4K,Philips,Android,131.131.124.42
348,W01GQmZfx,Berlin,4K,Samsung,Android,137.61.222.135
349,0zuB9MX3Jc,Warsaw,"Full HD",Sencor,Linux,226.4.44.105
350,4v02TABI,Berlin,"Full HD",Sencor,Linux,196.207.148.31
351,DQt0VukfU,Berlin,"Full HD",Philips,Android,64.159.118.173
352,JeabZg0w,Amsterdam,4K,LG,Android,227.207.222.147
353,NUpiIPSC,Amsterdam,4K,Sencor,Ubuntu,108.54.38.142
354,MopsjDnI,Warsaw,4K,Sencor,Android,197.209.235.24
355,bNwhvcfjU0,Amsterdam,4K,LG,Ubuntu,79.139.112.223
356,dWCQG,Paris,"Full HD",Samsung,Android,188.233.178.74
357,WjpUEz,Berlin,4K,Philips,Ubuntu,253.59.159.17
358,lzCpVa9U6b,Paris,4K,Samsung,Ubuntu,32.237.241.81
359,dXhSJ,Amsterdam,"Full HD",Sencor,Android,90.203.143.186
360,a1K9Nbv,Paris,"Full HD",Sencor,Ubuntu,107.211.113.172
361,yR3sghoAHn,Warsaw,4K,LG,Android,94.249.43.11
362,os2AH,Berlin,4K,Sencor,Ubuntu,81.91.15.251
363,r0CXibM,Warsaw,"Full HD",Samsung,Ubuntu,12.70.160.142
364,kPUqhIMK21,Berlin,4K,LG,Ubuntu,16.228.193.232
365,7BTZKC,Amsterdam,"Full HD",LG,Linux,90.97.12.207
366,HmbCFk,Amsterdam,"Full HD",Samsung,Ubuntu,232.6.191.120
367,KzBq5rp,Warsaw,"Full HD",Sencor,Ubuntu,110.3.170.159
368,bHsft7opmV,Amsterdam,4K,Samsung,Ubuntu,84.186.211.99
369,6vu2iCP,Paris,"Full HD",Philips,Android,63.201.69.124
370,7CYnQR,Paris,4K,Philips,Android,56.91.63.31
371,xDbYR,Berlin,4K,Sencor,Ubuntu,107.140.197.191
372,CZ9EWy,Paris,4K,LG,Android,96.187.77.88
373,8cGkBE3b,Berlin,4K,Samsung,Ubuntu,206.248.7.252
374,ycPunXgY5W,Warsaw,4K,Philips,Ubuntu,219.81.91.168
